imdb,title,year
tt0120735,"Lock, Stock and Two Smoking Barrels",1998.0
tt0377092,Mean Girls,2004.0
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,2008.0
tt2719848,Everest,2015.0
tt0050083,12 Angry Men,1957.0
tt5311514,Your Name.,2016.0
tt4263482,The Witch,2015.0
tt1615160,The Foreigner,2017.0
tt0100802,Total Recall,1990.0
tt2788732,Pete's Dragon,2016.0
tt5308322,Happy Death Day,2017.0
tt1542344,127 Hours,2010.0
tt0096895,Batman,1989.0
tt0401729,John Carter,2012.0
tt0438097,Ice Age: The Meltdown,2006.0
tt0094721,Beetlejuice,1988.0
tt1397280,Taken 2,2012.0
tt1446192,Rise of the Guardians,2012.0
tt0112442,Bad Boys,1995.0
tt2234155,The Internship,2013.0
tt1355631,The Infiltrator,2016.0
tt4786282,Lights Out,2016.0
tt6857112,Us,2019.0
tt0119698,Princess Mononoke,1997.0
tt0405159,Million Dollar Baby,2004.0
tt0147800,10 Things I Hate About You,1999.0
tt3829266,The Predator,2018.0
tt0061852,The Jungle Book,1967.0
tt0343660,50 First Dates,2004.0
tt1473832,Bridget Jones's Baby,2016.0
tt0325710,The Last Samurai,2003.0
tt0119282,Hercules,1997.0
tt1735898,Snow White and the Huntsman,2012.0
tt2557490,A Million Ways to Die in the West,2014.0
tt0060196,"The Good, the Bad and the Ugly",1966.0
tt7784604,Hereditary,2018.0
tt3647498,Blood Father,2016.0
tt1292566,How to Be Single,2016.0
tt1821694,RED 2,2013.0
tt0808151,Angels & Demons,2009.0
tt0097958,National Lampoon's Christmas Vacation,1989.0
tt1210819,The Lone Ranger,2013.0
tt0054215,Psycho,1960.0
tt2527338,Star Wars: The Rise of Skywalker,2019.0
tt1458169,Kidnap,2017.0
tt0438488,Terminator Salvation,2009.0
tt1091191,Lone Survivor,2013.0
tt0075148,Rocky,1976.0
tt5700672,Train to Busan,2016.0
tt0942385,Tropic Thunder,2008.0
tt0092099,Top Gun,1986.0
tt8579674,1917,2019.0
tt0496806,Ocean's Thirteen,2007.0
tt1092026,Paul,2011.0
tt0275847,Lilo & Stitch,2002.0
tt0371724,The Hitchhiker's Guide to the Galaxy,2005.0
tt0463985,The Fast and the Furious: Tokyo Drift,2006.0
tt1907668,Flight,2012.0
tt0878804,The Blind Side,2009.0
tt0443543,The Illusionist,2006.0
tt0486576,Fantastic Four: Rise of the Silver Surfer,2007.0
tt1411250,Riddick,2013.0
tt5439796,Logan Lucky,2017.0
tt2935510,Ad Astra,2019.0
tt0087363,Gremlins,1984.0
tt2334879,White House Down,2013.0
tt7349950,It Chapter Two,2019.0
tt0317919,Mission: Impossible III,2006.0
tt0119177,Gattaca,1997.0
tt4555426,Darkest Hour,2017.0
tt4877122,The Emoji Movie,2017.0
tt1764651,The Expendables 2,2012.0
